sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20.0,52.0,14.127840042114258,21.93,0.5405418648912931,37.642051504187485,0.7663575743174362,1.7619485513338126e-15,0.6200592885375494,64.4
21.0,51.0,18.895105361938477,10.32,0.557623769214866,35.58917402584358,0.7623711231884169,4.669875084865976e-15,0.3399209486166008,64.2
22.0,56.0,16.799650192260742,12.15,0.5984028983825973,32.7283615451031,0.7801386878880028,6.652160557309459e-16,0.40019762845849804,66.0
23.0,81.0,15.940156936645508,23.13,0.500481106560249,41.160778452621685,0.7074795939459163,5.296298978692249e-12,0.7859025032938076,65.0
24.0,53.0,14.8728609085083,23.86,0.5227572546942418,38.29804001324477,0.7402966311388798,2.4162078839998193e-13,0.6788537549407114,60.8
25.0,89.0,15.670951843261719,16.74,0.5651786378976696,33.7413104334618,0.7574389768659541,4.993055130847172e-14,0.5718050065876152,63.60000000000001
26.0,54.0,18.60275650024414,17.36,0.5869775547828395,31.99733490944328,0.784779034233875,2.3952732219403006e-15,0.5718050065876152,59.800000000000004
27.0,50.0,15.058332443237305,10.43,0.5915399047615528,31.500656902172068,0.7980920251983781,6.123695838537585e-16,1.0,64.6
28.0,66.0,17.054157257080078,30.36,0.5744285595505415,33.25084130149249,0.7834482850006963,7.540548446849264e-15,1.0,57.60000000000001
