sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[61],[12.53876],[15.29],0.33569751858042884,55.87795447594649,0.6397637440651571,8.451176078393375e-10,0.567193675889328,[-17.92437]
21,[62],[14.17904],[25.],0.3617646852438905,53.93999935233817,0.6532155373038658,3.7572827573153633e-10,0.5220685111989459,[-20.44135]
22,[60],[15.90278],[26.45],0.22554851878146032,63.144027738501535,0.514510417127151,3.7744689763765093e-06,0.630764163372859,[-26.25552]
23,[67],[19.62334],[19.15],0.23755534578650517,59.16532501850581,0.5035577447342274,7.59505561501112e-06,0.630764163372859,[-23.27204]
24,[78],[17.29306],[0.],0.30534052351829666,53.266651703119855,0.560133961707371,4.6081483446731006e-07,0.0,[-23.9187]
25,[91],[13.29457],[16.11],0.34131897407628464,50.74458114815802,0.5961800694246474,6.481448769067004e-08,0.8173583662714097,[-26.81114]
26,[71],[15.29396],[15.85],0.4136417357262664,45.15103393372316,0.6659341737436856,5.761995702087391e-10,0.5220685111989459,[-18.98132]
27,[68],[14.87524],[19.27],0.417256460552589,44.87034476088066,0.6641929863462969,8.926679751208668e-10,0.8173583662714097,[-18.27478]
28,[58],[13.74416],[16.88],0.2431314761762602,57.40637414644709,0.49589281874584096,2.296246557895308e-05,1.0,[-24.97499]
29,[66],[16.41059],[30.36],0.38633420031253385,46.28847537373247,0.6362730579037283,1.2258900923496734e-08,1.0,[-18.46267]
