sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[71],[11.19337],[15.85],0.31925081000296596,57.26137311259943,0.669314285896794,7.071356143772794e-11,0.5220685111989459,[-14.14159]
21,[62],[18.80093],[25.],0.4064434897943858,50.09342970073707,0.6406492590784466,1.032658608815177e-09,0.5036231884057971,[-22.35425]
22,[60],[15.04737],[26.45],0.31679961835521764,55.619077262053246,0.5714224638706311,1.586679323418886e-07,0.5036231884057971,[-26.15902]
23,[91],[16.78801],[16.11],0.32963970901787276,51.93234138643435,0.5758774346916337,1.4859784048510368e-07,0.5036231884057971,[-22.77944]
24,[61],[19.36209],[15.29],0.25724401196785995,57.529757674107394,0.5082947686578195,7.049483427207156e-06,0.5036231884057971,[-20.48161]
25,[78],[17.26095],[0.],0.2970121225679855,54.55992866228065,0.5460801220662351,1.2143661984106384e-06,0.630764163372859,[-20.84512]
26,[79],[10.02361],[0.],0.36379286604029504,49.62870918233014,0.6128699636769033,2.7743320097320378e-08,0.630764163372859,[-20.83516]
27,[67],[17.94141],[19.15],0.4943579792012829,39.638316463278045,0.7149114799474962,1.0795871584530022e-11,0.630764163372859,[-21.42627]
28,[83],[14.07925],[0.],0.3867500427222892,47.47331358284212,0.63634422199455,9.340050352409235e-09,0.0,[-22.3006]
29,[59],[13.81814],[17.51],0.4652864272704226,41.60933862920351,0.707373372372899,4.48426585713196e-11,0.8173583662714097,[-19.86438]
30,[58],[14.948],[16.88],0.5372133906896774,35.795731777528886,0.7831362549437302,2.0629579695452223e-14,0.8173583662714097,[-18.96917]
31,[68],[15.08219],[19.27],0.44739416901222917,42.56024277463707,0.6981811457722319,2.0106038390702763e-10,0.8173583662714097,[-20.39963]
32,[66],[17.55631],[30.36],0.5125770685834825,36.92163637562001,0.7405181907809928,6.018505637140235e-12,1.0,[-18.46983]
