sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[81],[13.67651],[23.13],0.3586819789706338,52.42544196881001,0.6706024752125148,6.305957060452676e-11,0.5154808959156785,[-26.38659]
21,[67],[14.08235],[19.15],0.5100465981870579,39.102169556136325,0.7305629987883593,2.2026953247360905e-13,0.5154808959156785,[-22.90927]
22,[61],[12.54558],[15.29],0.3730775808486243,49.64767382668224,0.6157447304441729,8.586090628978439e-09,0.8218050065876152,[-14.68991]
23,[60],[15.47508],[26.45],0.5514337727558936,35.67668728115346,0.7618976390672934,1.2006316018591733e-14,0.8218050065876152,[-24.75397]
24,[62],[16.18215],[25.],0.42182059870667876,43.73750470899234,0.6641042692168647,3.676193141291884e-10,0.8234519104084321,[-18.54171]
25,[91],[24.13062],[16.11],0.2715666731624504,52.64599420449988,0.5976527359304176,5.901208118895186e-08,0.5306324110671937,[-30.17758]
26,[63],[22.54381],[24.95],0.37523272414977904,45.095857676277404,0.6715421766454794,3.65329526954841e-10,0.8218050065876152,[-25.42369]
27,[73],[12.65932],[17.25],0.31646695261818725,46.8046993921906,0.5768801397274572,3.2290801587494604e-07,1.0,[-19.11292]
28,[78],[16.67627],[0.],0.3257830532516952,45.75876038088501,0.6674705092317305,9.317554828421854e-10,0.5220685111989459,[-25.40836]
29,[69],[9.33801],[0.],0.5127595248825034,33.229786794876915,0.7232834854341053,1.0108413844789641e-11,1.0,[-21.21248]
30,[65],[15.66972],[16.91],0.5192550550989077,32.93974518555931,0.7291839849359056,8.343495923744306e-12,0.6673254281949935,[-18.4322]
31,[59],[16.52685],[17.51],0.5904541038313872,27.854287677211435,0.774972066750322,9.063345127974633e-14,1.0,[-24.76913]
32,[71],[18.6111],[15.85],0.3868750240781439,41.22289803233767,0.6545190290826307,7.926929486185562e-09,0.5220685111989459,[-25.67171]
33,[90],[16.78863],[20.26],0.5105685000940261,32.75419009612911,0.7356458559241503,1.4479459591170708e-11,1.0,[-19.2626]
34,[32],[17.63198],[10.07],0.3916127847779838,39.43868180907525,0.6642551814216047,7.193263815558699e-09,0.3316864295125165,[-23.80236]
35,[58],[15.02188],[16.88],0.5488886810626064,29.6260253676462,0.7486393338358566,9.282328798219627e-12,1.0,[-19.46223]
36,[66],[16.87675],[30.36],0.4639138625388314,34.740161628199104,0.6855988025610495,2.8869086667423353e-09,1.0,[-18.18149]
