sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[80],[9.02783],[24.6],0.23266389374902952,64.01492538899939,0.7381407302779681,6.199484100876124e-14,0.8102766798418973,[-13.31729]
21,[62],[16.09639],[25.],0.5716477470474486,34.684604361947976,0.8248346520644939,2.961473820243873e-19,0.8226284584980238,[-23.813]
22,[60],[19.79286],[26.45],0.48527181644485884,40.233222943744835,0.703361481638644,5.602762262392705e-12,0.8218050065876152,[-28.97103]
23,[78],[20.13298],[0.],0.4179596369572536,43.322772907763905,0.6589722843349266,4.1699036417084273e-10,0.8218050065876152,[-30.24677]
24,[48],[16.80947],[0.],0.6668902067159779,24.854984642586878,0.8197459885152099,4.054009778547094e-18,0.5306324110671937,[-26.34548]
25,[61],[19.01048],[15.29],0.5480718020577877,33.79373332793007,0.7622529532482267,2.7790544054083815e-14,0.8218050065876152,[-22.54955]
26,[91],[16.0202],[16.11],0.5858098356592796,31.100896110937402,0.7938052876781141,6.805790908737988e-16,0.8218050065876152,[-26.41306]
27,[63],[19.62017],[24.95],0.5356042438816113,34.91892895217473,0.8125564677607646,6.973469289201886e-17,0.8218050065876152,[-23.70203]
28,[65],[19.31549],[16.91],0.6322491535986918,26.40612216363187,0.8093919511272544,1.9550570323033108e-16,0.8173583662714097,[-23.17154]
29,[46],[14.04773],[13.58],0.6322164388736009,26.30970314555905,0.8194633201310961,7.142196556460315e-17,0.8173583662714097,[-20.37896]
30,[83],[10.24894],[0.],0.5936068249578449,29.278801873709597,0.7864913603066545,1.3431218088214476e-14,0.5767457180500659,[-21.52994]
31,[59],[13.75052],[17.51],0.6279834177677923,26.908481528298513,0.8377827547122145,1.1230870916487104e-17,0.8173583662714097,[-20.14257]
32,[71],[15.50378],[15.85],0.6120482285009472,27.864950678975315,0.8069806424901619,2.3831217203275008e-15,0.8173583662714097,[-19.9297]
33,[66],[16.75397],[30.36],0.6142492091220948,27.685254104760226,0.8183156594922225,8.098721515237293e-16,0.5559947299077733,[-19.23119]
