sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[60],[22.09516],[26.45],0.5558855691443809,35.50662975660736,0.7856318102313093,1.146197381100308e-16,0.8712121212121212,[22.09516]
21,[63],[21.2613],[24.95],0.3509708360814352,49.31401658512489,0.7384598499275379,8.914203179474146e-14,0.8218050065876152,[21.2613]
22,[64],[20.3138],[20.7],0.4778355670703034,37.881122218122066,0.7583913499460556,1.2066392291679103e-14,0.5927206851119894,[20.3138]
23,[61],[21.74897],[15.29],0.32763654089298155,47.62113726523431,0.7170750991238765,2.0075189211421775e-12,0.5036231884057971,[21.74897]
24,[67],[18.20208],[19.15],0.4313707279865927,40.23431086262782,0.726151478777367,1.1316156400815878e-12,0.630764163372859,[18.20208]
25,[91],[16.22412],[16.11],0.43693393087411314,39.098898354708226,0.7112607471149498,7.453169238926203e-12,0.5306324110671937,[16.22412]
26,[66],[17.44538],[30.36],0.34154731497920665,45.45771323076051,0.6756610060721302,2.597793999633488e-10,1.0,[17.44538]
