sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[62],[18.2869],[25.],0.4331935891853549,47.81496461811174,0.670915695329725,6.132206000013073e-11,0.8234519104084321,[18.2869]
21,[60],[22.44632],[26.45],0.32406037233436646,55.03135816506197,0.6230019104454534,3.96028063505895e-09,0.8712121212121212,[22.44632]
22,[61],[22.87867],[15.29],0.2565794268452497,57.63929046464139,0.5791807830128471,9.823009561685433e-08,0.5927206851119894,[22.87867]
23,[91],[18.25316],[16.11],0.3541561645695478,50.193316405007856,0.6458087746975735,1.1924906699203578e-09,0.5306324110671937,[18.25316]
24,[78],[17.0763],[0.],0.3679305420179685,49.09883682984238,0.6225308532088913,8.732521063674205e-09,0.0,[17.0763]
25,[64],[18.4532],[20.7],0.46135845486243643,42.050694845947305,0.6890435848656945,5.93918507970238e-11,0.6818181818181818,[18.4532]
26,[66],[17.03788],[30.36],0.439146325192719,42.899700060363365,0.6770008986336545,2.3223182668438803e-10,0.8173583662714097,[17.03788]
