sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[60],[13.10603],[26.45],0.5652847797560709,35.73609025613125,0.8158832182139347,8.467664656414379e-19,0.7995718050065878,[13.10603]
21,[61],[17.87398],[15.29],0.6101161417769924,30.58774419161162,0.8013869360275202,1.6634525848549404e-17,0.7076745718050066,[17.87398]
22,[62],[13.463],[25.],0.5789146352847452,33.12997016520206,0.8093924618843206,7.675549478003561e-18,0.8234519104084321,[13.463]
23,[63],[18.94734],[24.95],0.596833375777251,30.371257809349142,0.8005688240522891,5.353960022317219e-17,0.8218050065876152,[18.94734]
24,[64],[15.65857],[20.7],0.5454609801036241,32.6300990112607,0.7517024310261342,6.458081384659888e-14,0.6818181818181818,[15.65857]
25,[67],[18.45447],[19.15],0.4919897401712927,35.56179601057548,0.7547660036533582,6.872762328351404e-14,0.630764163372859,[18.45447]
26,[32],[17.68465],[10.07],0.49272390528315246,34.8472777905154,0.7408412763903008,5.10997243841817e-13,0.3316864295125165,[17.68465]
27,[65],[16.605],[16.91],0.4783463019915424,36.266378179096485,0.7576723834920188,1.1567031786070075e-13,0.5569828722002635,[16.605]
28,[66],[14.98187],[30.36],0.39955159102764426,41.3563512936754,0.7158012543441549,1.4294062525188991e-11,1.0,[14.98187]
