sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[64],[12.90285],[20.7],0.5559815012352609,36.50087323453959,0.8003763079394963,1.163994405304251e-17,0.7184892402283708,[12.90285]
21,[36],[18.42102],[8.07],0.5641096139233788,35.3016779509347,0.790685449007751,8.787074114865715e-17,0.2658102766798419,[18.42102]
22,[60],[12.3399],[26.45],0.5185434345373605,39.53153857163003,0.8246400873311797,5.464427643320575e-19,0.8388230127360563,[12.3399]
23,[61],[18.63095],[15.29],0.5344263132196823,36.383254875872744,0.7474797980466218,6.999569535362983e-14,0.7162933684672815,[18.63095]
24,[62],[14.35135],[25.],0.5549545376958616,34.85950888247059,0.814959579472129,9.08677719598037e-18,0.8234519104084321,[14.35135]
25,[63],[15.18901],[24.95],0.5248076139365769,35.5316527664778,0.7829038685685538,1.9068383527538246e-15,0.8218050065876152,[15.18901]
26,[67],[15.25236],[19.15],0.5056369911493086,35.10021633132881,0.7514612090636097,1.5489829090382482e-13,0.630764163372859,[15.25236]
27,[81],[16.30681],[23.13],0.5666944376883134,30.192970773498594,0.805187806832241,2.1575865637862525e-16,0.7618577075098814,[16.30681]
28,[48],[17.31297],[0.],0.5923837593889603,27.08437391262761,0.7790352319599941,1.3355912679582084e-14,0.0,[17.31297]
29,[65],[19.08736],[16.91],0.31897800668325915,45.54152798207909,0.6103362003410274,6.744684543189227e-08,0.5569828722002635,[19.08736]
30,[73],[17.30501],[17.25],0.6210022490420584,25.059605613317675,0.8240735889739125,6.059698670765245e-17,0.5681818181818182,[17.30501]
31,[78],[19.55102],[0.],0.46931946739622976,34.58284080613961,0.7185913043126205,3.3291423823212494e-11,0.0,[19.55102]
32,[66],[17.55237],[30.36],0.7372028704395062,17.250610506254404,0.869826048991373,4.562000525326667e-20,1.0,[17.55237]
