sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[91],[10.6173],[16.11],0.3380624221754005,55.03806325888504,0.8232291121174978,2.241650873389644e-19,0.8102766798418973,[-19.67267]
21,[80],[19.39684],[24.6],0.5279893734125918,39.430626735374474,0.8501929067567594,1.822277912290106e-21,0.8102766798418973,[-24.37192]
22,[59],[13.55014],[17.51],0.5076902918785633,39.937978534991046,0.8039376597825165,1.8660584369496552e-17,0.8173583662714097,[-21.54837]
23,[60],[12.78871],[26.45],0.4141156455553615,47.511216397517714,0.7715000249786464,3.458446363939631e-15,0.39591567852437415,[-19.64018]
24,[63],[13.50269],[24.95],0.552370771452217,34.68619150871811,0.7957559089704922,1.8589862744057587e-16,0.8234519104084321,[-20.52209]
25,[62],[22.65578],[25.],0.47366313436791274,39.168766616918894,0.749111321892663,1.333344077925083e-13,0.6818181818181818,[-28.64033]
26,[64],[22.73375],[20.7],0.584548690232261,29.540911300537672,0.7709929396843032,1.4634715279478537e-14,0.6818181818181818,[-24.24344]
27,[61],[19.29638],[15.29],0.46600650622333994,37.140650245135575,0.7375656371439591,1.0889217148501267e-12,0.5036231884057971,[-22.6799]
28,[66],[17.15854],[30.36],0.5444317820326596,31.726193093395896,0.8065981631650188,2.973983508069837e-16,0.8173583662714097,[-19.22085]
