sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[81],[21.09895],[23.13],0.4748813666922762,42.92655988838073,0.6912362951826677,9.286231410267472e-12,0.7618577075098814,[-28.19751]
21,[61],[17.38869],[15.29],0.5223780732100982,38.11801999121041,0.7273174132081909,3.165614134112839e-13,0.8218050065876152,[-23.85449]
22,[82],[11.37172],[0.],0.4133015640603769,47.04478311506058,0.6581647510910279,3.330363982286191e-10,0.8218050065876152,[-21.98241]
23,[63],[18.24344],[24.95],0.47670022941977075,42.07541528709809,0.6978595255906533,1.3482340109412227e-11,0.8218050065876152,[-20.82122]
24,[62],[15.34402],[25.],0.5128413369147626,37.72462679228921,0.7185517271700511,2.4950358115905135e-12,0.630764163372859,[-21.14265]
25,[60],[18.81409],[26.45],0.5202966586249407,35.6131627637808,0.721713932118908,2.6209611544593275e-12,0.630764163372859,[-24.82782]
26,[91],[19.52702],[16.11],0.4820056371378204,36.27770530411344,0.7099530775466518,1.2110054211440605e-11,0.5306324110671937,[-27.313]
27,[78],[18.40796],[0.],0.4002294582126026,41.931853231323515,0.6452885254441914,3.751510160395434e-09,0.0,[-24.13441]
28,[59],[18.76045],[17.51],0.48498108064499534,36.14133074482156,0.7198192056748037,9.715906282134033e-12,0.5767457180500659,[-24.83461]
29,[90],[13.41104],[20.26],0.5684571522930921,30.048038448182215,0.7539988643275856,4.1656477302048543e-13,1.0,[-21.12557]
30,[32],[17.76307],[10.07],0.574542813102833,28.927412648808904,0.7649503864217062,1.8634789870778423e-13,0.3316864295125165,[-22.3947]
31,[67],[18.41],[19.15],0.5661453261358345,29.898448713048342,0.7607500807730694,4.678735490147551e-13,1.0,[-21.91895]
32,[65],[17.36334],[16.91],0.5251236845280343,32.08519062607122,0.7296803064901825,1.72692668473902e-11,1.0,[-20.82096]
33,[73],[18.97508],[17.25],0.5398928565455086,30.798035763789567,0.7376695121547837,1.1915271634172256e-11,0.5681818181818182,[-23.21733]
34,[66],[16.05884],[30.36],0.5263115192523948,31.313959066344143,0.7340039089465892,2.5147412038679302e-11,1.0,[-17.15008]
