sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[62],[7.1382],[25.],0.18460387905149034,66.85371746669315,0.6146990401020175,5.675628311991935e-09,0.4183135704874835,[-14.75791]
21,[64],[19.93356],[20.7],0.5288801814925062,37.340539428736356,0.7397576036840693,7.658958400476296e-14,0.5927206851119894,[-29.85114]
22,[60],[18.44809],[26.45],0.5204008819459194,37.470703620374614,0.7277599057269448,4.4247437439189147e-13,0.5036231884057971,[-28.22051]
23,[61],[19.60229],[15.29],0.5499733065575989,33.452964957096675,0.7439007693404304,1.0646477527271803e-13,0.5036231884057971,[-29.96991]
24,[80],[14.64953],[24.6],0.4747721689953005,39.15990576423359,0.6926644639558898,3.0712748781126323e-11,0.5306324110671937,[-26.23792]
25,[83],[12.54329],[0.],0.4024655568086163,42.648518406646225,0.6433007777748391,2.506120005751104e-09,0.5306324110671937,[-19.00377]
26,[91],[22.11759],[16.11],0.4765350981561929,37.49244757002656,0.6950265521353377,4.846199416305989e-11,0.5306324110671937,[-25.89581]
27,[78],[18.12916],[0.],0.4720688519454558,37.7742343863243,0.694304081242608,7.23906763022674e-11,0.0,[-25.52364]
28,[70],[12.53366],[17.25],0.5862753854057201,29.71192060082645,0.8236897050144809,2.0400445705268396e-17,0.8173583662714097,[-18.24608]
29,[59],[15.31333],[17.51],0.6888354764229925,22.219784215049476,0.8446196622592492,9.46849459592733e-19,0.5220685111989459,[-23.29826]
30,[65],[15.66308],[16.91],0.6797707051983699,22.690497148924564,0.8482914668489723,8.995722303919968e-19,0.5220685111989459,[-22.61269]
31,[71],[13.81597],[15.85],0.5791349315123109,29.64150234241843,0.7798444599457824,5.0240759398817685e-14,0.8173583662714097,[-20.84358]
32,[68],[14.9794],[19.27],0.6338011516843411,25.73134820519633,0.8138669668244435,8.909756495366469e-16,0.8173583662714097,[-19.11859]
33,[66],[17.01543],[30.36],0.5671659939500129,29.790769963382253,0.8116543219730962,2.118858827170442e-15,1.0,[-18.05917]
