sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[81],[21.22911],[23.13],0.5320324192349222,38.254666864508096,0.7343559129877777,9.655174868968034e-14,0.7618577075098814,[-29.19389]
21,[63],[16.75761],[24.95],0.5982176987605367,32.065416036683075,0.7834402148680202,2.5692032475646817e-16,0.8218050065876152,[-26.02743]
22,[61],[18.06199],[15.29],0.34337982572267645,50.50179927919767,0.6153958372845413,8.801118846510075e-09,0.5036231884057971,[-25.97982]
23,[62],[14.82188],[25.],0.47308351511163715,40.680501065326624,0.6937376015569852,1.9897740232924022e-11,0.630764163372859,[-27.00752]
24,[60],[19.20116],[26.45],0.4570876046414598,40.17269681555825,0.6775212912597426,1.1854410357106418e-10,0.8712121212121212,[-27.62652]
25,[91],[21.19889],[16.11],0.35322970631008,45.13671546078658,0.6574436718227415,8.437757542887766e-10,0.5306324110671937,[-25.17554]
26,[78],[18.23705],[0.],0.42218841233563553,40.23676367861088,0.6796161816840393,1.8627937640994854e-10,0.5767457180500659,[-25.00577]
27,[69],[12.43643],[0.],0.32161575841642354,47.42798532210765,0.6333764171489288,8.818922204843582e-09,0.630764163372859,[-24.58581]
28,[59],[17.5171],[17.51],0.6226574498531714,26.479924127894897,0.7924743498918019,2.2446228956477594e-15,0.5569828722002635,[-23.63675]
29,[67],[19.14427],[19.15],0.5158937004285223,33.70799627389613,0.7194344281155485,1.4630524312817795e-11,0.630764163372859,[-23.41883]
30,[73],[18.56345],[17.25],0.5321463164756457,32.01688186495565,0.7525676964271697,7.472417418875131e-13,0.5681818181818182,[-21.78633]
31,[58],[13.95192],[16.88],0.5572577334627,30.024335785011832,0.7558635780242096,8.012765631827708e-13,1.0,[-22.66408]
32,[71],[16.25775],[15.85],0.585831770767568,27.850332985628906,0.7752921206713903,1.3921906491560486e-13,1.0,[-22.13387]
33,[3],[10.64945],[0.],0.4141293606126467,39.214176369219715,0.6805530617198565,1.6014392572309122e-09,1.0,[-25.94217]
34,[90],[13.78781],[20.26],0.6140388877102778,25.98873956962921,0.7853842762191081,1.0896488305721375e-13,1.0,[-22.71027]
35,[66],[16.54704],[30.36],0.5241956940526443,31.05054064838689,0.7299281044515454,5.414288184755184e-11,0.3316864295125165,[-21.15384]
