sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[63],[18.09779],[24.95],0.5097599098526754,38.84113442131775,0.7874727938277506,8.700565969377829e-17,0.630764163372859,[-31.41143]
21,[61],[9.78547],[15.29],0.1749133817949582,63.205774539017185,0.7132509910405985,1.4385709315238575e-12,0.6818181818181818,[-15.56028]
22,[91],[12.70572],[16.11],0.3525397927650351,49.85257779375796,0.7383327042843559,1.350737838586927e-13,0.6818181818181818,[-19.73868]
23,[81],[9.57116],[23.13],0.4419464333698869,43.085893147349225,0.7732731878881595,2.7302084438954327e-15,0.8712121212121212,[-20.45642]
24,[64],[18.96034],[20.7],0.4232739966671435,43.29507705415359,0.7232211945996572,1.539713010911774e-12,0.6818181818181818,[-26.31762]
25,[82],[11.88146],[0.],0.3532997475884777,47.70912760994,0.6341593338412298,4.918298770207585e-09,0.630764163372859,[-25.54845]
26,[67],[19.30834],[19.15],0.47268273318939613,38.99786764934749,0.777043689098947,6.71846739818637e-15,0.630764163372859,[-23.94031]
27,[60],[18.2671],[26.45],0.4235659458501898,42.160036314358294,0.724339670643123,4.2715387397414424e-12,0.8712121212121212,[-23.88672]
28,[66],[15.88195],[30.36],0.3768547998477718,42.90630988406081,0.7032593114959544,4.577203696646215e-11,1.0,[-21.30682]
