sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[80],[8.31961],[24.6],0.22184753447396022,64.91727890310304,0.7411022177216275,4.36001274290122e-14,0.5681818181818182,[-11.82635]
21,[63],[14.28121],[24.95],0.5944584367706105,32.83757369310576,0.8482728805549689,2.7662862016181137e-21,0.8226284584980238,[-22.05073]
22,[62],[16.04459],[25.],0.5000707325637259,39.08822742835588,0.7196074540908428,1.0645017025085253e-12,0.8173583662714097,[-29.04913]
23,[60],[18.68914],[26.45],0.4398869422140552,42.11411821220525,0.6660662685300718,2.315904179260086e-10,0.5036231884057971,[-31.25743]
24,[91],[14.54744],[16.11],0.2891425773510724,50.63632174701175,0.5762673192432131,1.7877119084787652e-07,0.0,[-30.81187]
25,[78],[16.11196],[0.],0.5017590868465269,35.46892905013315,0.7194773513369579,3.290694051878907e-12,0.5036231884057971,[-23.50657]
26,[61],[19.90085],[15.29],0.6413965634780737,25.60853125096659,0.8145208738667751,2.946583547020418e-17,0.5036231884057971,[-21.25413]
27,[59],[15.22418],[17.51],0.6000547292408165,28.62297583289753,0.8236188474802709,1.1617619506538758e-17,0.8173583662714097,[-19.66316]
28,[65],[19.44495],[16.91],0.6293905717908157,26.34520640657933,0.8061381733611285,3.1845700766606656e-16,0.8173583662714097,[-23.49089]
29,[46],[13.70222],[13.58],0.6245346393749197,26.555824412262353,0.8058557476989966,5.651852171145308e-16,0.8173583662714097,[-21.29061]
30,[68],[17.2001],[19.27],0.6195222891353553,27.078877417458195,0.8144475488522828,2.712025867458779e-16,0.8173583662714097,[-18.42188]
31,[58],[13.84501],[16.88],0.6202184514270934,26.53932013215487,0.8067663606266927,1.4393190324887614e-15,1.0,[-22.28957]
32,[69],[10.52025],[0.],0.5661624810255781,30.086902581451202,0.7711065424598579,2.2679172895490237e-13,1.0,[-21.92514]
33,[66],[17.54363],[30.36],0.6011634461696865,27.81797756994871,0.8328020129261148,8.674893005027003e-17,1.0,[-18.57912]
