train_size,picked_idx,mu_pred,y_true,r2,mse,pear,p_val,acq_val
20,[82],[3.68083],[0.],-0.100401918774494,83.28176055781425,0.38437304903994074,0.0007219711441844253,[-6.96112]
21,[84],[4.59768],[0.],-0.15140086993015922,87.40221388520284,0.34486391641471315,0.00280898567081348,[-6.78338]
22,[69],[7.28828],[0.],-0.017390336386656102,77.44308244715053,0.3620665252197487,0.0017766328221822864,[-6.03011]
23,[83],[7.22956],[0.],-0.02849428561009759,78.48544570990789,0.3606521239243814,0.0020038314563175313,[-6.02915]
24,[31],[3.6464],[4.97],-0.15413508759988814,88.27131700020097,0.35872974456630874,0.00229223490974167,[-7.40889]
25,[68],[5.12176],[19.27],-0.14375864351394063,88.58330426710708,0.3637851413258967,0.002121752508773303,[-6.75178]
26,[79],[5.37902],[0.],-0.032357817806784706,79.2162148851382,0.44364196785356874,0.0001511098625835008,[-6.33459]
27,[76],[3.15114],[0.],-0.020496007994728505,78.49611527424732,0.45477305603285345,0.00011054188236827835,[-7.20601]
28,[8],[6.87107],[0.],-0.02653984498004691,79.12773747301334,0.45622005005060673,0.0001181803214037361,[-5.58594]
29,[20],[2.58669],[0.],0.009076743179908142,76.51718733184757,0.4831821332272699,4.5651155342074863e-05,[-8.04781]
30,[19],[3.6311],[0.],0.0487861051691586,73.55270245617068,0.5111042529197325,1.5916205900368015e-05,[-7.6485]
31,[15],[2.02129],[0.],0.04923470051741152,73.58927902330436,0.5170645219673476,1.4320788464833032e-05,[-8.0137]
32,[4],[3.96338],[0.],0.03771316845388173,74.51915060307941,0.5200836104804601,1.474845348307932e-05,[-6.96903]
33,[2],[5.59196],[0.],0.006024356289812127,76.97373119805296,0.5171922138141746,1.9739119762440872e-05,[-6.54415]
34,[56],[6.09111],[12.15],-0.006950892890424942,77.93587654114926,0.5133408670768531,2.7371198559642028e-05,[-5.93501]
35,[89],[6.5521],[16.74],0.023694665482378308,76.67959441567042,0.5314879254861021,1.4818956102002594e-05,[-5.36971]
36,[93],[6.50588],[0.],0.032305275671385414,76.28758614424993,0.5471226167998374,8.828611473931347e-06,[-4.9852]
