file,N_exp,mean_wo_init,std_wo_init,mean_w_init,std_w_init,mean_init,std_init,run_min
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210322.csv,83,,,6.406385542,8.500951552,7.8545,9.425754864,0.447980134
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210336.csv,61,,,5.319180328,8.342551659,8.9795,8.818957691,0.234310365
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210338.csv,31,,,7.683870968,9.361980311,7.349,8.365958343,0.042045963
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210406.csv,86,,,6.650232558,8.467724905,9.1685,9.818699647,0.459648482
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210436.csv,85,,,6.589176471,8.436392624,7.7455,8.327433863,0.503158609
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210502.csv,83,,,6.699277108,8.422220579,8.157,8.783851718,0.431370389
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210525.csv,80,,,6.492,8.562898224,10.8205,8.687407251,0.388351897
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210547.csv,77,,,6.28961039,8.826154675,8.4075,10.0491193,0.365852555
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210548.csv,23,,,11.43043478,10.0763522,9.459,9.065273245,0.011400731
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210549.csv,24,,,6.45125,9.902184655,6.2235,9.098781938,0.018530273
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210616.csv,83,,,6.406385542,8.500951552,7.8545,9.425754864,0.446625288
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210630.csv,61,,,5.319180328,8.342551659,8.9795,8.818957691,0.232925491
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210632.csv,31,,,7.683870968,9.361980311,7.349,8.365958343,0.041784457
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210700.csv,86,,,6.650232558,8.467724905,9.1685,9.818699647,0.460713049
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210730.csv,85,,,6.589176471,8.436392624,7.7455,8.327433863,0.502334833
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210756.csv,83,,,6.699277108,8.422220579,8.157,8.783851718,0.428899535
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210819.csv,80,,,6.492,8.562898224,10.8205,8.687407251,0.383625849
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210841.csv,77,,,6.28961039,8.826154675,8.4075,10.0491193,0.360765088
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210841_0.csv,23,,,11.43043478,10.0763522,9.459,9.065273245,0.010986209
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210842.csv,24,,,6.45125,9.902184655,6.2235,9.098781938,0.017838609
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210909.csv,83,,,6.406385542,8.500951552,7.8545,9.425754864,0.444532963
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210923.csv,61,,,5.319180328,8.342551659,8.9795,8.818957691,0.231147512
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210925.csv,31,,,7.683870968,9.361980311,7.349,8.365958343,0.040550303
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_210953.csv,86,,,6.650232558,8.467724905,9.1685,9.818699647,0.457383939
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211023.csv,85,,,6.589176471,8.436392624,7.7455,8.327433863,0.498373957
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211048.csv,83,,,6.699277108,8.422220579,8.157,8.783851718,0.42740047
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211112.csv,80,,,6.492,8.562898224,10.8205,8.687407251,0.385635094
/home/common2/snap/snapd-desktop-integration/CrTe_SC/results/NW_regression_R9_LCB_run_2025_05_27_211133.csv,77,,,6.28961039,8.826154675,8.4075,10.0491193,0.362446678
