train_size,picked_idx,mu_pred,y_true,r2,mse,pear,p_val,acq_val
20,[31],[0.12382],[4.97],0.30420853160172434,58.695956517554535,0.6277842265540158,2.1450926850135438e-09,[-6.83082]
21,[69],[-0.39818],[0.],0.33353842013302115,56.91682625436887,0.6386195986257348,1.2105990303192753e-09,[-5.10539]
22,[25],[0.93969],[0.],0.3025245837263395,59.78643711259714,0.6210404383708652,5.876460454706523e-09,[-4.15195]
23,[1],[6.9513],[0.],0.3272179958180539,57.87221523128907,0.6319176755276961,3.42532244383097e-09,[-3.48758]
24,[3],[6.66167],[0.],0.33732708926147525,57.19034435039539,0.6355119326253855,3.4173800883091475e-09,[-3.74534]
25,[27],[1.61023],[0.],0.34445329662322277,56.748176404111966,0.6378100667829458,3.767366276635911e-09,[-5.25063]
26,[83],[2.9034],[0.],0.3359106221727136,57.64836343017639,0.6333045943495925,6.809751431573337e-09,[-3.48419]
27,[0],[0.50596],[0.],0.32792518554795713,58.488036730181854,0.6278698228955977,1.2933209740714691e-08,[-1.87696]
28,[21],[0.26029],[0.],0.31633582066212085,59.627461853235694,0.6233929087642583,2.2623836188999582e-08,[-0.89335]
29,[2],[0.00961],[0.],0.30670900248685873,60.57944695559727,0.6165731821991959,4.539554633889557e-08,[-0.59502]
30,[23],[-0.04043],[0.],0.29821244737494546,61.412884570729474,0.6087810772387559,9.442528354112432e-08,[-0.54404]
31,[28],[0.84787],[0.],0.28804515884911575,62.36950795412161,0.6007180772554659,1.9408086083750449e-07,[-0.2117]
32,[12],[0.05264],[0.],0.2809013309069843,63.03454633066697,0.594210698376542,3.55203900195665e-07,[-0.25267]
33,[24],[-0.009],[0.],0.26882552058214804,64.10116738974804,0.5858868601583836,7.033685815151273e-07,[-0.20472]
34,[8],[-0.06618],[0.],0.25551628697497253,65.24049962604485,0.5763492564004921,1.4430822115124369e-06,[-0.20098]
35,[20],[-0.00238],[0.],0.2414852817496037,66.40195320894298,0.5671610886334804,2.8187765537988757e-06,[-0.14578]
36,[22],[-0.00933],[0.],0.22787894957587407,67.47869832972233,0.5553968324995007,6.034440064469387e-06,[-0.13486]
37,[6],[-0.00057],[0.],0.21168058713741167,68.72680743316695,0.5430359961350404,1.2746380241749411e-05,[-0.07708]
38,[85],[-0.00413],[0.],0.1938261527926577,70.0547789843048,0.5306362779182785,2.5897501175603987e-05,[-0.07489]
39,[10],[0.0059],[0.],0.17675739072129415,71.23999001014417,0.5151627923720085,5.7093453884356156e-05,[-0.05369]
40,[18],[-0.00011],[0.],0.1569574597661716,72.57513557314093,0.4989003986369894,0.000123115062493002,[-0.01693]
41,[9],[0.00019],[0.],0.13636938801366294,73.87727661202545,0.47961111690204045,0.00027932679825262284,[-0.00867]
42,[26],[6.72674e-05],[0.],0.11280709266859168,75.31579526284392,0.4589053247410842,0.0006221794320817667,[-0.00562]
43,[17],[-0.00012],[0.],0.08781288341311932,76.73729746924585,0.43416062961544316,0.0014569184582008338,[-0.00154]
44,[14],[7.28711e-06],[0.],0.059937845338762896,78.23840118235653,0.40579215537619046,0.003458514488685503,[-0.00225]
45,[72],[0.00024],[0.],0.02872829717346992,79.82402476694082,0.3728297053452028,0.008332089958695136,[-0.00133]
46,[11],[-0.00015],[0.],-0.006473788051406748,81.50758898916727,0.3325003546578247,0.020941664366071318,[-0.00015]
47,[29],[0.99876],[0.],-0.045322147934123036,83.21162087824518,0.28377696491716514,0.05323191168868354,[0.39651]
48,[81],[4.82711],[23.13],-0.08462640789839182,84.62958642328275,0.21915584627742818,0.14337510357447705,[0.09305]
49,[56],[8.99836],[12.15],0.09868543474469116,69.56203722955628,0.4055877244820907,0.005707987195734141,[0.47948]
50,[30],[2.24357],[0.],0.12798990644690278,68.8297824861071,0.448492580524418,0.0022633183251472237,[1.09125]
51,[93],[11.54631],[0.],0.06418729164031534,72.25083151035808,0.3739660715105978,0.013497528559713647,[4.08317]
52,[34],[2.63114],[0.],0.05798187703377722,70.86320094150992,0.3632981902632393,0.018038704443747004,[-1.39611]
53,[89],[3.68226],[16.74],-0.43202191448544736,104.47417302785415,0.10390779967025505,0.5179475038391735,[-5.20358]
54,[32],[0.00769],[10.07],0.011757486739732093,73.57013662039569,0.34371553529371046,0.029888977142335897,[-0.12065]
