train_size,picked_idx,mu_pred,y_true,r2,mse,pear,p_val,acq_val
20,[13],[1.08224],[0.],0.40415580744438373,48.98181810108019,0.6851163321141164,1.6660094873612386e-11,[-5.93661]
21,[7],[7.76825],[0.],0.41171207021040424,48.53792624981801,0.6837301114929443,2.6187003002629627e-11,[-5.68465]
22,[0],[7.41545],[0.],0.41152071476669494,48.72230506390854,0.6726514465795765,9.718115920663777e-11,[-6.05094]
23,[28],[7.09304],[0.],0.4229781426729323,47.9295021258508,0.6735878570057804,1.2197618176123208e-10,[-6.10916]
24,[32],[6.7975],[10.07],0.43128301511388545,47.38284431697385,0.6738423261557088,1.6262659220072257e-10,[-6.14371]
25,[29],[6.9284],[0.],0.4295214385163577,48.187433346340875,0.6763705460910096,1.7903009042316866e-10,[-5.62679]
26,[5],[1.4874],[0.],0.5245045552985783,40.28726185257128,0.7283480846407243,1.9362027085674886e-12,[-6.77608]
27,[79],[2.47298],[0.],0.278893547311617,61.26758623308558,0.5520632293142503,1.279953024403238e-06,[-9.95437]
28,[23],[6.18607],[0.],0.5223535803384517,40.683641747587934,0.7246212794106263,6.070827877062239e-12,[-6.76038]
29,[19],[1.7115],[0.],0.5668215573121845,36.97614268758101,0.7533666408282701,4.4689910278182777e-13,[-7.13383]
30,[3],[5.77367],[0.],0.5639185393867967,37.291492977178876,0.7516128177941452,8.289009011049806e-13,[-6.7315]
31,[65],[4.35556],[16.91],0.2881987250651721,60.95636075273692,0.5883037925889149,3.969801649829253e-07,[-5.88874]
32,[4],[5.94125],[0.],0.4535381459116443,46.97632847163219,0.681252318364561,1.1025321632632685e-09,[-5.7752]
33,[6],[5.76121],[0.],0.5462476171489782,39.065453667618826,0.740640167193506,8.921383571408304e-12,[-6.53074]
34,[82],[1.4999],[0.],0.4160826518192361,50.32483970562859,0.6691903195167659,5.066654041051425e-09,[-5.38779]
35,[56],[7.01381],[12.15],0.4109175431024148,50.79791035603652,0.6689645169923099,6.985415715441227e-09,[-4.39056]
36,[78],[-2.05788],[0.],0.4671585054769507,46.659491842842854,0.6999128983002244,9.73305467718369e-10,[-4.02335]
37,[85],[-0.42367],[0.],0.4629066967592529,47.05277697159615,0.6951442744037142,1.975505477395546e-09,[-4.08133]
38,[41],[0.80259],[11.09],0.44649079680611936,48.4831659062736,0.6853687503667091,5.634499461690788e-09,[-3.96983]
39,[39],[6.73607],[0.],0.456231560493911,48.47002303776317,0.6864436179951906,7.24106865386527e-09,[-4.74872]
40,[12],[0.63642],[0.],0.4675227204154059,47.4444842267659,0.6958339873459175,5.19988367561047e-09,[-4.32511]
