train_size,picked_idx,mu_pred,y_true,r2,mse,pear,p_val,acq_val
20,[80],[0.62512],[24.6],0.2318181006518557,64.61579536673564,0.5705386075766236,1.1144797742512949e-07,[-8.43872]
21,[85],[2.73995],[0.],0.30716896654479686,56.400876549542375,0.5645401745774394,1.9703927163651138e-07,[-7.87294]
22,[26],[0.98724],[0.],0.29305953047201894,57.75904584963026,0.5501897004311076,5.544646137549621e-07,[-7.36534]
23,[87],[1.95079],[12.02],0.29779809113712863,57.56918896298344,0.5746225622542025,1.6040528629033297e-07,[-9.30258]
24,[8],[3.57634],[0.],0.31314101651408255,56.94793506802391,0.5678767417282352,2.9437440299392497e-07,[-7.36969]
25,[19],[2.86784],[0.],0.3477447561924468,54.27097869218901,0.6130561350443142,2.1495250369598927e-08,[-7.02574]
26,[21],[1.16928],[0.],0.3385340813092347,55.21994965428944,0.611040512726339,3.130885995514462e-08,[-6.89945]
27,[31],[4.0829],[4.97],0.325882470471625,56.44841164892761,0.6067108412100204,5.265466530884656e-08,[-6.59416]
28,[77],[-0.17328],[0.],0.340976334214404,55.91444579911863,0.646740638932254,4.4534979526486565e-09,[-7.01003]
29,[68],[6.50243],[19.27],0.326274346128018,57.32394368775565,0.6379774126365478,1.089827538372684e-08,[-7.53437]
30,[66],[7.34724],[30.36],0.3487112225277361,55.05565270629644,0.6445098259544781,9.087837922486734e-09,[-6.91987]
