sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[61],[13.15596],[15.29],0.35868364296960586,53.94447138936797,0.6382046471397227,9.562254623287797e-10,0.567193675889328,[73.3]
21,[62],[15.4813],[25.],0.3258399134335376,56.97615564670402,0.6151466176101567,7.014902806403778e-09,0.5220685111989459,[69.3]
22,[60],[20.08717],[26.45],0.2629369945887442,60.09560054747752,0.5226318813994747,2.4861040649328714e-06,0.8712121212121212,[71.]
23,[67],[19.16909],[19.15],0.22793325499666905,59.91199446630394,0.4883766642494286,1.5553031654907057e-05,0.630764163372859,[69.7]
24,[91],[17.22461],[16.11],0.28302371370526724,54.97790991765703,0.5368544233816772,1.6593958064402932e-06,0.0,[68.5]
25,[78],[19.06484],[0.],0.271070765916651,55.84431983676141,0.5278949696104925,3.1415018986668227e-06,0.0,[68.4]
26,[83],[12.58889],[0.],0.3366975061459878,51.07592956913541,0.6105614844352982,3.231180896978702e-08,0.5220685111989459,[65.7]
27,[71],[15.57124],[15.85],0.4885679252316967,39.57608765378552,0.7152155977484078,1.0483859503415712e-11,0.5220685111989459,[66.4]
28,[68],[14.73569],[19.27],0.4437135717992673,43.063614981865115,0.703396640828584,4.520720343674032e-11,0.8173583662714097,[63.9]
29,[66],[16.52957],[30.36],0.47440128392129466,40.097943391292,0.7007429950963197,8.10635893636435e-11,1.0,[62.4]
