sample_size,pred_ind,best_pred_result,y_true,r2,mse,pearson,p_value,ndcg,acq_value
20,[60],[21.30216],[26.45],0.5310973147960916,37.48843288730422,0.7916268092020944,4.6241624497846977e-17,0.8712121212121212,[72.7]
21,[63],[20.77724],[24.95],0.34928780758677547,49.44189511464703,0.7154602946624462,1.140981009296393e-12,0.8218050065876152,[69.1]
22,[64],[21.5395],[20.7],0.42445196453510015,41.75390757949492,0.7446314561820002,6.481342753063252e-14,0.5927206851119894,[68.8]
23,[67],[21.32641],[19.15],0.30199884112188635,49.4369653020311,0.7051134857845344,6.6877495842611705e-12,0.630764163372859,[67.8]
24,[61],[19.86894],[15.29],0.3738350344739837,43.56499387640227,0.7147877252084177,3.656195728197874e-12,0.5036231884057971,[67.]
25,[66],[17.56646],[30.36],0.3800694459098367,43.0475268363758,0.7116066856878599,7.2051082902359815e-12,1.0,[63.7]
